Subject,Start Date,Start Time,End Date,End Time
Hockey vs Diane's Dipsticks (blue),2024-10-06,06:30 PM,2024-10-06,07:45 PM
Hockey vs Orcutt (gold),2024-10-13,06:30 PM,2024-10-13,07:45 PM
Hockey vs Ice Cream Bar (teal),2024-10-20,06:30 PM,2024-10-20,07:45 PM
Hockey vs MBA Instant Replay (red),2024-10-23,09:15 PM,2024-10-23,10:30 PM
Hockey vs Diane's Dipsticks (blue),2024-10-27,08:00 PM,2024-10-27,09:15 PM
Hockey vs Mansour's (white),2024-10-28,09:15 PM,2024-10-28,10:30 PM
Hockey vs Ice Cream Bar (teal),2024-11-03,06:30 PM,2024-11-03,07:45 PM
Hockey vs Diane's Dipsticks (blue),2024-11-10,06:30 PM,2024-11-10,07:45 PM
Hockey vs MBA Instant Replay (red),2024-11-11,09:15 PM,2024-11-11,10:30 PM
Hockey vs Orcutt (gold),2024-11-17,09:30 PM,2024-11-17,10:45 PM
Hockey vs Mansour's (white),2024-11-18,09:15 PM,2024-11-18,10:30 PM
Hockey vs Ice Cream Bar (teal),2024-11-24,09:30 PM,2024-11-24,10:45 PM
Hockey vs Diane's Dipsticks (blue),2024-12-08,06:30 PM,2024-12-08,07:45 PM
Hockey vs Mansour's (white),2024-12-11,09:15 PM,2024-12-11,10:30 PM
Hockey vs Ice Cream Bar (teal),2024-12-15,08:00 PM,2024-12-15,09:15 PM
Hockey vs Orcutt (gold),2024-12-15,09:30 PM,2024-12-15,10:45 PM
Hockey vs Orcutt (gold),2024-12-16,09:15 PM,2024-12-16,10:30 PM
Hockey vs Diane's Dipsticks (blue),2025-01-05,09:30 PM,2025-01-05,10:45 PM
Hockey vs Mansour's (white),2025-01-08,09:15 PM,2025-01-08,10:30 PM
Hockey vs Orcutt (gold),2025-01-12,09:30 PM,2025-01-12,10:45 PM
Hockey vs Mansour's (white),2025-01-15,09:15 PM,2025-01-15,10:30 PM
Hockey vs Ice Cream Bar (teal),2025-01-19,08:00 PM,2025-01-19,09:15 PM
Hockey vs MBA Instant Replay (red),2025-01-20,09:15 PM,2025-01-20,10:30 PM
Hockey vs MBA Instant Replay (red),2025-01-26,09:30 PM,2025-01-26,10:45 PM
Hockey vs Ice Cream Bar (teal),2025-02-02,06:30 PM,2025-02-02,07:45 PM
Hockey vs MBA Instant Replay (red),2025-02-05,09:15 PM,2025-02-05,10:30 PM
Hockey vs Diane's Dipsticks (blue),2025-02-16,06:30 PM,2025-02-16,07:45 PM
Hockey Playoff,2025-02-23,06:30 PM,2025-02-23,07:45 PM
Hockey Playoff,2025-02-23,08:00 PM,2025-02-23,09:15 PM
Hockey Playoff,2025-02-23,09:30 PM,2025-02-23,10:45 PM
Hockey Playoff,2025-02-24,09:15 PM,2025-02-24,10:30 PM
Hockey Playoff,2025-02-26,09:15 PM,2025-02-26,10:30 PM
Hockey Playoff,2025-03-02,06:30 PM,2025-03-02,07:45 PM
Hockey Playoff,2025-03-02,08:00 PM,2025-03-02,09:15 PM
Hockey Playoff,2025-03-02,09:30 PM,2025-03-02,10:45 PM
Hockey Playoff,2025-03-03,09:15 PM,2025-03-03,10:30 PM
Hockey Playoff,2025-03-05,09:15 PM,2025-03-05,10:30 PM
Hockey 5th Place,2025-03-09,03:00 PM,2025-03-09,04:15 PM
Hockey 3rd Place,2025-03-09,04:30 PM,2025-03-09,05:45 PM
Hockey Championship,2025-03-09,06:00 PM,2025-03-09,07:15 PM
